id	nomask	total	date
118	1	1	2021-08-06 21:02:05
119	2	2	2021-08-06 21:02:25
120	1	1	2021-08-06 21:17:05
109	1	1	2021-07-06 16:46:22
110	1	1	2021-07-06 16:47:29
111	1	1	2021-07-06 16:47:43
112	1	1	2021-07-06 16:47:57
113	1	1	2021-07-06 16:48:09
114	1	1	2021-07-06 16:49:33
115	1	1	2021-07-06 16:52:02
